,timestamp,cadence,gct,heart_rate,respiration_rate,time
0,1708568198,0,0,151.0,0.0,0
1,1708568199,0,0,148.0,0.0,1
2,1708568200,0,0,146.0,0.0,2
3,1708568201,0,0,143.0,0.0,3
4,1708568202,0,0,141.0,0.0,4
5,1708568203,0,0,140.0,0.0,5
6,1708568204,0,0,139.0,0.0,6
7,1708568205,0,0,138.0,0.0,7
8,1708568206,0,0,137.0,0.0,8
9,1708568207,0,0,136.0,0.0,9
10,1708568208,0,0,135.0,0.0,10
11,1708568209,0,0,134.0,0.0,11
12,1708568210,0,0,134.0,0.0,12
13,1708568211,0,0,133.0,0.0,13
14,1708568212,0,0,132.0,12.11,14
15,1708568213,0,0,132.0,12.11,15
16,1708568214,0,0,132.0,12.11,16
17,1708568215,0,0,131.0,12.11,17
18,1708568216,0,0,131.0,12.11,18
