timestamp,heart rate,distance,activity type,time
1727554816,94.0,0.0,generic,0
1727554817,95.0,0.0,generic,1
1727554818,94.0,0.0,generic,2
1727554819,94.0,0.0,generic,3
1727554820,94.0,0.0,generic,4
1727554821,94.0,0.0,generic,5
1727554822,94.0,0.0,generic,6
1727554823,95.0,0.0,generic,7
1727554824,95.0,0.0,generic,8
1727554825,95.0,0.0,generic,9
1727554826,95.0,0.0,generic,10
1727554827,95.0,0.0,generic,11
1727554828,96.0,0.0,generic,12
1727554829,97.0,0.0,generic,13
1727554830,97.0,0.0,generic,14
1727554831,97.0,0.0,generic,15
1727554832,97.0,0.0,generic,16
1727554833,96.0,0.0,generic,17
1727554834,96.0,0.0,generic,18
1727554835,96.0,0.0,generic,19
