timestamp,heart rate,enhanced respiration rate,current stress,wrist heart rate,body battery,time
1736027751,128,12.41,99.0,128,21,0.0
1736027752,128,12.41,99.0,128,21,1.0
1736027753,128,12.41,99.0,128,21,2.0
1736027754,128,12.53,99.0,128,21,3.0
1736027755,128,12.53,99.0,128,21,4.0
1736027756,128,12.53,99.0,128,21,5.0
1736027757,128,12.67,99.0,128,21,6.0
1736027758,128,12.67,99.0,128,21,7.0
1736027759,128,12.67,99.0,128,21,8.0
1736027760,128,12.67,99.0,128,21,9.0
1736027761,129,12.67,99.0,129,21,10.0
1736027762,129,12.7,99.0,129,21,11.0
1736027763,129,12.98,99.0,129,21,12.0
1736027764,129,12.98,99.0,129,21,13.0
1736027765,129,12.98,99.0,129,21,14.0
1736027766,129,12.98,99.0,129,21,15.0
1736027767,129,13.01,99.0,129,21,16.0
1736027768,128,13.01,99.0,128,21,17.0
1736027769,127,13.01,99.0,127,21,18.0
1736027770,127,13.01,99.0,127,21,19.0
1736027771,126,13.01,99.0,126,21,20.0
1736027772,126,13.01,99.0,126,21,21.0
1736027773,126,13.01,99.0,126,21,22.0
1736027774,126,13.01,99.0,126,21,23.0
1736027775,126,12.93,99.0,126,21,24.0
1736027776,126,12.93,99.0,126,21,25.0
1736027777,127,12.93,99.0,127,21,26.0
1736027778,126,12.93,99.0,126,21,27.0
1736027779,127,12.97,99.0,127,21,28.0
1736027780,126,12.97,99.0,126,21,29.0
1736027781,126,12.97,99.0,126,21,30.0
1736027782,126,12.97,99.0,126,21,31.0
1736027783,127,13.07,99.0,127,21,32.0
1736027784,126,13.07,99.0,126,21,33.0
1736027785,126,13.26,99.0,126,21,34.0
1736027786,127,13.26,99.0,127,21,35.0
1736027787,126,13.26,99.0,126,21,36.0
1736027788,126,13.38,99.0,126,21,37.0
1736027789,126,13.38,99.0,126,21,38.0
1736027790,126,13.7,99.0,126,21,39.0
1736027791,126,13.7,99.0,126,21,40.0
