timestamp,heart rate,enhanced respiration rate,current stress,wrist heart rate,body battery,time
1736029534,127,12.15,95.0,127,18,0.0
1736029535,126,12.15,91.0,126,18,1.0
1736029536,126,12.15,91.0,126,18,2.0
1736029537,126,12.15,91.0,126,18,3.0
1736029538,127,12.15,91.0,127,18,4.0
1736029539,126,12.15,91.0,126,18,5.0
1736029540,126,12.16,88.0,126,18,6.0
1736029541,127,12.16,88.0,127,18,7.0
1736029542,126,12.23,88.0,126,18,8.0
1736029543,126,12.23,88.0,126,18,9.0
1736029544,127,12.23,88.0,127,18,10.0
1736029545,127,12.23,88.0,127,18,11.0
1736029546,128,12.23,88.0,128,18,12.0
1736029547,128,12.23,88.0,128,18,13.0
1736029548,127,12.23,88.0,127,18,14.0
1736029549,126,12.23,88.0,126,18,15.0
1736029550,126,12.23,88.0,126,18,16.0
1736029551,126,12.23,88.0,126,18,17.0
1736029552,127,12.2,88.0,127,18,18.0
1736029553,126,12.2,88.0,126,18,19.0
1736029554,126,12.2,88.0,126,18,20.0
1736029555,125,12.2,91.0,125,18,21.0
1736029556,126,12.08,91.0,126,18,22.0
1736029557,126,12.08,91.0,126,18,23.0
1736029558,127,12.08,91.0,127,18,24.0
1736029559,120,12.08,91.0,120,18,25.0
1736029560,117,12.08,92.0,117,18,26.0
1736029561,116,12.08,92.0,116,18,27.0
1736029562,116,12.08,92.0,116,18,28.0
1736029563,116,12.08,92.0,116,18,29.0
