timestamp,heart rate,distance,activity type,time
1738435692,108.0,0.0,generic,0
1738435693,108.0,0.0,generic,1
1738435694,108.0,0.0,generic,2
1738435695,107.0,0.0,generic,3
1738435696,107.0,0.0,generic,4
1738435697,107.0,0.0,generic,5
1738435698,107.0,0.0,generic,6
1738435699,107.0,0.0,generic,7
1738435700,107.0,0.0,generic,8
1738435701,108.0,0.0,generic,9
1738435702,108.0,0.0,generic,10
1738435703,108.0,0.0,generic,11
1738435704,108.0,0.0,generic,12
1738435705,108.0,0.0,generic,13
1738435706,109.0,0.0,generic,14
